TIME,VDD_SYS_GPU_CURRENT,VDD_SYS_GPU_VOLTAGE,VDD_SYS_GPU_POWER,VDD_SYS_SOC_CURRENT,VDD_SYS_SOC_VOLTAGE,VDD_SYS_SOC_POWER,VDD_4VO_WIFI_CURRENT,VDD_4VO_WIFI_VOLTAGE,VDD_4VO_WIFI_POWER,VDD_IN_CURRENT,VDD_IN_VOLTAGE,VDD_IN_POWER,VDD_SYS_CPU_CURRENT,VDD_SYS_CPU_VOLTAGE,VDD_SYS_CPU_POWER,VDD_SYS_DDR_CURRENT,VDD_SYS_DDR_VOLTAGE,VDD_SYS_DDR_POWER,VDD_MUX_CURRENT,VDD_MUX_VOLTAGE,VDD_MUX_POWER,VDD_5VO_IO_SYS_CURRENT,VDD_5VO_IO_SYS_VOLTAGE,VDD_5VO_IO_SYS_POWER,VDD_3V3_SYS_CURRENT,VDD_3V3_SYS_VOLTAGE,VDD_3V3_SYS_POWER,VDD_3V3_IO_SLP_CURRENT,VDD_3V3_IO_SLP_VOLTAGE,VDD_3V3_IO_SLP_POWER,VDD_1V8_IO_CURRENT,VDD_1V8_IO_VOLTAGE,VDD_1V8_IO_POWER,VDD_3V3_SYSi_M2_CURRENT,VDD_3V3_SYSi_M2_VOLTAGE,VDD_3V3_SYSi_M2_POWER
30m 0s 348,8,19144,153,28,19136,535,0,4824,0,144,19136,2755,28,19136,535,84,4824,405,12,19144,229,24,4992,119,12,3320,39,0,3320,0,0,1808,0,0,3320,0
30m 0s 458,8,19144,153,28,19136,535,0,4824,0,144,19136,2755,28,19136,535,84,4824,405,12,19144,229,24,4992,119,12,3320,39,0,3320,0,0,1808,0,0,3320,0
30m 0s 567,8,19144,153,28,19136,535,0,4824,0,142,19136,2717,28,19136,535,84,4824,405,14,19144,268,24,4992,119,12,3320,39,0,3320,0,0,1808,0,0,3320,0
30m 0s 677,8,19144,153,28,19136,535,0,4824,0,142,19136,2717,28,19136,535,84,4824,405,14,19144,229,24,4992,119,12,3320,39,0,3320,0,0,1816,0,0,3320,0
30m 0s 787,8,19144,153,28,19136,535,0,4824,0,142,19136,2717,28,19136,535,84,4824,405,12,19144,229,24,4992,119,12,3320,39,0,3320,0,0,1808,0,0,3320,0
30m 0s 897,8,19144,153,28,19136,535,0,4824,0,142,19136,2717,28,19136,535,84,4824,405,14,19144,268,24,4992,119,12,3320,39,0,3320,0,0,1808,0,0,3320,0
30m 1s 6,8,19144,153,28,19136,535,0,4824,0,142,19136,2717,28,19136,535,80,4824,385,14,19144,268,24,4992,119,12,3320,39,0,3320,0,0,1808,0,0,3320,0
30m 1s 116,8,19144,153,28,19136,535,0,4824,0,142,19136,2717,28,19136,535,80,4824,385,14,19144,268,24,4992,119,12,3320,39,0,3320,0,0,1808,0,0,3320,0
30m 1s 226,8,19144,153,28,19136,535,0,4824,0,142,19136,2717,28,19136,535,80,4824,385,14,19144,268,24,4992,119,12,3320,39,0,3320,0,0,1808,0,0,3320,0
30m 1s 336,8,19144,153,28,19136,535,0,4824,0,142,19136,2717,28,19136,535,80,4824,385,14,19144,268,24,4992,119,12,3320,39,0,3320,0,0,1816,0,0,3320,0
30m 1s 445,8,19144,153,28,19136,535,0,4824,0,142,19136,2717,28,19136,535,80,4824,385,14,19144,268,24,4992,119,12,3320,39,0,3320,0,0,1816,0,0,3320,0
